,Model,SoC
Xiaomi,REDMI GO,Snapdragon 425
Xiaomi,REDMI 7A,Snapdragon 439
Xiaomi,REDMI 8,Snapdragon 439
Xiaomi,REDMI 8A,Snapdragon 439
Xiaomi,REDMI 7,Snapdragon 632
Xiaomi,REDMI NOTE 7,Snapdragon 660
Xiaomi,POCO M3,Snapdragon 662
Xiaomi,REDMI 9T,Snapdragon 662
Xiaomi,MI A3,Snapdragon 665
Xiaomi,REDMI NOTE 8,Snapdragon 665
Xiaomi,REDMI NOTE 8T,Snapdragon 665
Xiaomi,REDMI NOTE 10,Snapdragon 678
Xiaomi,REDMI 10C,Snapdragon 680
Xiaomi,REDMI NOTE 11,Snapdragon 680
Xiaomi,REDMI NOTE 12,Snapdragon 685
Xiaomi,REDMI NOTE 13,Snapdragon 685
Xiaomi,POCO M6 PRO,Snapdragon 4 Gen 2
Xiaomi,REDMI NOTE 14 4G,Snapdragon 4 Gen 2
Xiaomi,POCO X4 PRO,Snapdragon 695
Xiaomi,MI 9 SE,Snapdragon 712
Xiaomi,REDMI NOTE 9 PRO,Snapdragon 720G
Xiaomi,REDMI NOTE 9S,Snapdragon 720G
Xiaomi,MI 9T,Snapdragon 730
Xiaomi,MI NOTE 10,Snapdragon 730G
Xiaomi,MI NOTE 10 LITE,Snapdragon 730G
Xiaomi,POCO X3,Snapdragon 732G
Xiaomi,REDMI NOTE 10 PRO,Snapdragon 732G
Xiaomi,REDMI NOTE 10 PRO MAX,Snapdragon 732G
Xiaomi,POCO X5 PRO,Snapdragon 778G
Xiaomi,XIAOMI 12 LITE,Snapdragon 778G
Xiaomi,XIAOMI 11 LITE,Snapdragon 780G
Xiaomi,XIAOMI 13 LITE,Snapdragon 7 Gen 1
Xiaomi,POCO X6,Snapdragon 7s Gen 2
Xiaomi,REDMI NOTE 13 PRO 4G,Snapdragon 7s Gen 2
Xiaomi,REDMI NOTE 14 PRO 4G,Snapdragon 7s Gen 2
Xiaomi,POCO F5,Snapdragon 7+ Gen 2
Xiaomi,REDMI NOTE 14 PRO PLUS 5G,Snapdragon 7s Gen 3
Xiaomi,MI 8,Snapdragon 845
Xiaomi,MI 9,Snapdragon 855
Xiaomi,MI 9T PRO,Snapdragon 855 Plus
Xiaomi,POCO X3 PRO,Snapdragon 860
Xiaomi,MI 10,Snapdragon 865
Xiaomi,MI 10T,Snapdragon 865
Xiaomi,MI 10T PRO,Snapdragon 865
Xiaomi,POCO F3,Snapdragon 870
Xiaomi,XIAOMI 12X,Snapdragon 870
Xiaomi,XIAOMI 11,Snapdragon 888
Xiaomi,XIAOMI 11 PRO,Snapdragon 888
Xiaomi,XIAOMI 11T PRO,Snapdragon 888
Xiaomi,POCO F4 GT,Snapdragon 8 Gen 1
Xiaomi,XIAOMI 12,Snapdragon 8 Gen 1
Xiaomi,XIAOMI 12 PRO,Snapdragon 8 Gen 1
Xiaomi,POCO F5 PRO,Snapdragon 8+ Gen 1
Xiaomi,XIAOMI 12T PRO,Snapdragon 8+ Gen 1
Xiaomi,POCO F6 PRO,Snapdragon 8 Gen 2
Xiaomi,XIAOMI 13,Snapdragon 8 Gen 2
Xiaomi,XIAOMI 13 PRO,Snapdragon 8 Gen 2
Xiaomi,XIAOMI 13 ULTRA,Snapdragon 8 Gen 2
Xiaomi,POCO F6,Snapdragon 8s Gen 3
Xiaomi,POCO F7,Snapdragon 8s Gen 3
Xiaomi,POCO F7 PRO,Snapdragon 8 Gen 3
Xiaomi,XIAOMI 14,Snapdragon 8 Gen 3
Xiaomi,XIAOMI 14 ULTRA,Snapdragon 8 Gen 3
Xiaomi,XIAOMI MIX FLIP,Snapdragon 8 Gen 3
Xiaomi,POCO F7 ULTRA,Snapdragon 8 Elite
Xiaomi,XIAOMI 15,Snapdragon 8 Elite
Xiaomi,XIAOMI 15 ULTRA,Snapdragon 8 Elite
